"","A10_S18_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","A11_S21_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","A7_S12_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","A9_S15_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B10_S19_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B11_S22_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B7_S13_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B9_S16_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","C2_S6_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","C7_S14_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D0_S1_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D1_S4_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D3_S8_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D4_S10_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D5_S11_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","E0_S2_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","E1_S5_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","E2_S7_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","F10_S20_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam"
"dp_gene1",2,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6",0,4,0,2,3,7,3,7,5,2,4,4,1,2,5,3,1,8,5
"dp_gene7",55,51,80,68,60,79,70,46,59,57,45,33,23,5,45,47,29,31,25
"dp_gene8",0,0,0,0,2,6,8,1,26,11,110,297,47,194,226,1666,2643,2064,50
"dp_gene9",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2
"dp_gene10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1
"dp_gene11",10,33,97,103,155,186,665,264,754,623,483,602,159,245,632,671,630,537,141
"dp_gene12",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"dp_gene13",0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene14",4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
