"genes","logFC","logCPM","LR","PValue","FDR"
"dp_gene5401",-8.42187585570957,9.78521597100867,303.528072307916,5.61226220246112e-68,8.09232086972868e-64
"dp_gene21424",-8.81023429650979,8.88616876638592,293.356604539474,9.22989611456583e-66,6.65429360379623e-62
"dp_gene17396",-9.62918468548308,7.92064639562768,275.417713441012,7.48487841942042e-62,3.59748206432077e-58
"dp_gene4203",-7.34290867493738,10.4018133826788,267.437684610655,4.10548451481817e-60,1.47992453047908e-56
"dp_gene4572",-8.24664124332163,8.23945380682677,261.379161675417,8.58805528335701e-59,2.47662338261449e-55
"dp_gene15024",-8.19650615188846,8.04371212798727,250.74242152088,1.78889988093758e-56,4.29902456387316e-53
"dp_gene182",-7.34421186787616,8.52093966570715,243.072623757341,8.40918224830068e-55,1.73217141197497e-51
"dp_gene2810",-7.91109397460712,6.28885955446971,189.369345837262,4.3650617933256e-43,7.86747824974523e-40
"dp_gene3419",-5.39480246717953,11.5476994208403,178.398509097511,1.08417455812257e-40,1.73696810595215e-37
"dp_gene9448",-7.92730909528319,5.82482079900149,172.683998386414,1.91858326318129e-39,2.7664052071811e-36
"dp_gene14612",5.57343476890768,9.60904732959424,170.879835347959,4.75340156937505e-39,6.23084520261989e-36
"dp_gene1134",-6.62180717788244,6.31604472849866,167.861994758317,2.16842838159888e-38,2.60554740285619e-35
"dp_gene13263",-9.62411584066144,5.43355118534514,167.349710694995,2.80570604119367e-38,3.08655955673473e-35
"dp_gene12199",6.35085361333121,7.25122558376255,167.218660214562,2.99686759097623e-38,3.08655955673473e-35
"dp_gene21622",-5.13682064881269,10.6921352315113,164.498290035691,1.17735762178307e-37,1.13175463656601e-34
"dp_gene14597",5.26602491523384,9.94568897925553,161.678497507315,4.86327059327903e-37,4.38271866778064e-34
"dp_gene3421",-4.92527713963647,11.4024368568059,155.425639223598,1.13026258983447e-35,9.58662134283716e-33
"dp_gene21621",-4.97862184431192,10.1363645623074,154.931219814482,1.44952056823988e-35,1.1611465040806e-32
"dp_gene15277",5.85741983234542,8.43775765920002,151.942648726051,6.52169601758311e-35,4.94928078302794e-32
"dp_gene15342",-4.96929256230032,8.45691110797495,150.574950907902,1.29804783613382e-34,9.35827587460679e-32
"dp_gene13262",-7.36245071765257,5.33366442364072,146.378912574691,1.07276828857726e-33,7.36583140618835e-31
"dp_gene3308",7.19916539061718,10.3404687807242,138.444706210746,5.82550634331199e-32,3.81808981655525e-29
"dp_gene16127",6.54839404366196,7.31781852096728,125.906958103403,3.22242817811974e-29,2.02018225653515e-26
"dp_gene1276",-4.64410642218035,6.92507916658406,125.664281893845,3.64160002929904e-29,2.18784295093595e-26
"dp_gene19706",-4.7717653819271,6.53574652644544,124.723949914913,5.84909486513423e-29,3.37352395441482e-26
"dp_gene1024",-4.79963583777806,6.72552050174884,124.484564892413,6.59904660318955e-29,3.65967896043808e-26
"dp_gene21012",-5.35569171722062,5.56857277916787,122.863035144504,1.49415190680517e-28,7.97932457193475e-26
"dp_gene7655",-4.5301758044794,6.65842509210663,119.899574119295,6.65456953593926e-28,3.426865647811e-25
"dp_gene9939",-8.51831167883435,4.60050276558771,118.323435143958,1.47299506712288e-27,7.32383305960167e-25
"dp_gene1879",7.30932186781379,5.83101120674139,117.192542152609,2.60509148900792e-27,1.25209380600017e-24
"dp_gene2930",4.615260972021,8.66424630855286,116.217254639407,4.25979607846856e-27,1.98135482759478e-24
"dp_gene19507",-7.23147217775488,4.58731904992232,115.622236805409,5.75031270430505e-27,2.59105496510546e-24
"dp_gene3542",-5.71063324776886,5.04059731626162,115.041924425799,7.70511516565043e-27,3.36666835071253e-24
"dp_gene19613",-6.6444993378166,4.71968042879816,114.663276215602,9.32621639819281e-27,3.95513865428065e-24
"dp_gene13949",-5.67050782885197,5.56872415888055,113.383700033726,1.77810664263646e-26,7.32529133719289e-24
"dp_gene94",-6.1610049175414,4.71746117219211,109.010663990957,1.61415103092897e-25,6.46512325415688e-23
"dp_gene14339",-4.80979352713274,5.50353859771708,105.382354060834,1.00702680051166e-24,3.92441065853448e-22
"dp_gene10424",-3.93790028487706,8.49352562671712,104.959877769915,1.2463414223351e-24,4.72920972859207e-22
"dp_gene11484",-4.43002913576068,7.35579355127395,103.838771345831,2.19468103497534e-24,8.11412970341268e-22
"dp_gene9008",4.54887468177484,7.042402343511,102.448376405807,4.42756427810639e-24,1.5960262331504e-21
"dp_gene437",4.51893871741246,7.15677944516384,102.222171804464,4.96312959465847e-24,1.71032162355693e-21
"dp_gene3757",-8.11851355771882,4.15633254025084,102.214707929276,4.98186477490748e-24,1.71032162355693e-21
"dp_gene38",-6.9032193322903,4.30988091319873,102.139054603012,5.17580161812211e-24,1.73557868678378e-21
"dp_gene2281",-4.92971003201776,6.27538484002179,101.577601155353,6.8717951490132e-24,2.25191850576412e-21
"dp_gene10067",3.76425875359473,11.403727032533,100.394887263369,1.24849957738772e-23,4.0004700903008e-21
"dp_gene10288",-4.31410133784937,5.82211772132865,100.062240396494,1.47682394061036e-23,4.62920095644799e-21
"dp_gene17665",-3.96214913649852,6.98757547985439,98.6557255114301,3.00444694072158e-23,9.21725966771584e-21
"dp_gene8694",8.19279236941612,7.55180167446252,97.4178710008228,5.61370750830467e-23,1.68633434504677e-20
"dp_gene19963",-7.85698676470626,3.93641349761711,92.2557596678794,7.61681424814839e-22,2.24136417640922e-19
"dp_gene6499",-4.2658975665869,5.46087282487488,91.8139776583518,9.52195099307685e-22,2.7459402273835e-19
"dp_gene5121",-5.72329096460725,4.86795954089777,91.2183983073751,1.28658420283937e-21,3.63750149426292e-19
"dp_gene20483",3.73340569137062,9.0795789132463,90.8399028686366,1.55779934640605e-21,4.31959784150556e-19
"dp_gene20320",3.87240743956447,9.04534861830681,90.7117142543479,1.66206327428978e-21,4.52175289660081e-19
"dp_gene4894",-4.65366592031549,4.94409890187073,90.26561914062,2.08239892398441e-21,5.56039075646875e-19
"dp_gene5119",-6.03592707396625,4.68562517609607,89.8649093410244,2.54989747686156e-21,6.68490394888488e-19
"dp_gene17150",-4.0232583536977,5.72736486997592,88.971433477897,4.00555124982785e-21,1.03135791912978e-18
"dp_gene20690",-6.00461926965049,4.16471153271266,88.7187902101181,4.55121542515503e-21,1.15129781079492e-18
"dp_gene15341",-5.21395724006201,4.45247895595413,88.24299851252,5.78877818790719e-21,1.43911021881782e-18
"dp_gene681",-7.70214150302478,5.03048071984555,86.5842475950716,1.33909526384652e-20,3.27261264566152e-18
"dp_gene20172",-3.54957196996482,7.24747338747748,85.2556897918176,2.62172976729806e-20,6.30045358577845e-18
"dp_gene4340",-4.12484795032434,7.39212588372543,84.7152033805457,3.44590521631935e-20,8.14532906788667e-18
