"genes","logFC","logCPM","LR","PValue","FDR"
"dp_gene9093",11.5889320972068,12.1101801356664,394.079378283065,1.07103423690446e-87,1.54432426619253e-83
"dp_gene2794",15.0496454506647,8.7561350394013,383.570447319403,2.07791697360429e-85,1.49807424212001e-81
"dp_gene3308",12.485321546354,10.3404687807242,355.840442442739,2.26636625935211e-79,1.0892911697866e-75
"dp_gene3566",11.4323339059191,9.30434488602358,353.800415234288,6.30315401759712e-79,2.27212944449332e-75
"dp_gene6604",13.8849740957788,7.62592532125381,323.292418519553,2.77812948282449e-72,8.01156980256925e-69
"dp_gene6708",13.7087304610647,7.39751295396255,314.21431318803,2.6374520400979e-70,6.33823682769527e-67
"dp_gene10948",13.6870206988729,7.6024515392525,313.097125594544,4.61899361077494e-70,9.51446698196627e-67
"dp_gene7340",13.6358125062749,8.67738706174988,310.462915922224,1.731337809472e-69,3.1205199843471e-66
"dp_gene11485",9.99294614999969,10.1707098195284,297.011204579443,1.47550243669976e-66,2.3639188483082e-63
"dp_gene20636",13.3607386016392,7.03798441166428,296.338087816142,2.06821075309188e-66,2.98215308488318e-63
"dp_gene18032",10.4395686155061,8.16433759662035,283.706044076791,1.16950888309753e-63,1.53301350776212e-60
"dp_gene7151",13.099923921422,8.71067167720544,282.990515433245,1.67464649820011e-63,2.01222732146228e-60
"dp_gene6655",9.61780161739878,7.65674929493993,277.745430811298,2.32762386202149e-62,2.58169295896061e-59
"dp_gene751",9.85573160766672,7.32017896457324,272.523376883306,3.19859719563917e-61,3.29432664028009e-58
"dp_gene20620",9.56083005339618,7.47008846732643,269.942284521438,1.16812170729916e-60,1.12287645983644e-57
"dp_gene18544",12.7312855748988,6.85731644318877,264.216697320945,2.06730549613565e-59,1.86302987179875e-56
"dp_gene6647",11.2750434149582,6.5980784575066,262.096980339292,5.99006350572582e-59,5.08063092288592e-56
"dp_gene8892",8.69580473981152,8.9545501505119,257.629199419512,5.64031027880122e-58,4.51820188389082e-55
"dp_gene14202",11.1744967324035,6.99828937207552,256.994001620313,7.75829708651071e-58,5.88773082581042e-55
"dp_gene12719",12.5769471682024,6.55815291475202,256.394640297519,1.04813979455844e-57,7.55656384886904e-55
"dp_gene3374",9.83959771481984,7.09487320403421,253.087632272258,5.51218998446396e-57,3.7847746374279e-54
"dp_gene14836",10.0476746436087,6.67416404447407,250.066284927864,2.5118226676178e-56,1.64627141110823e-53
"dp_gene5163",8.254763180316,7.9939799079886,248.669495997731,5.06412697623096e-56,3.17476725522932e-53
"dp_gene18054",10.364542709453,7.58135102109928,246.94903393289,1.20114057908228e-55,7.21635250407806e-53
"dp_gene12162",9.91442677850062,7.35801407137054,243.322227366659,7.4187708821047e-55,4.2788502939627e-52
"dp_gene8801",8.48126716980862,8.43830929270053,241.19241864887,2.16126323512679e-54,1.19858671489589e-51
"dp_gene6660",12.2288736341427,5.92666664382876,238.853748831124,6.99265152130407e-54,3.73433489946976e-51
"dp_gene7594",12.1229058501575,6.51315290127473,233.544997875843,1.0052238229043e-52,5.17654367944894e-50
"dp_gene20759",9.02275093870756,7.45965243328474,230.239678394324,5.2853389047061e-52,2.62790695403301e-49
"dp_gene7576",12.0155179090093,6.39362918241444,228.181985243378,1.48534722126841e-51,7.13907386115638e-49
"dp_gene6430",12.0015144505453,5.75953117429457,227.483960711174,2.10892754873554e-51,9.80923429845735e-49
"dp_gene1321",8.94851135788294,7.39702107742138,226.505927214417,3.44640627892815e-51,1.55292912924578e-48
"dp_gene4766",9.28265656450663,6.20403223353109,224.984813662228,7.39814062278372e-51,3.23253907999753e-48
"dp_gene1884",7.47762096377528,9.75276179867848,221.821446796143,3.62315466033171e-50,1.53653726609773e-47
"dp_gene6434",11.7272495037856,5.47919317856331,213.879497957518,1.95661443825656e-48,8.06069245292037e-46
"dp_gene3721",10.2806448832246,6.73471378262083,212.150832058313,4.6625802815175e-48,1.86749291886669e-45
"dp_gene2469",10.2213963506025,7.35134375453413,209.221934381703,2.03057546887762e-47,7.91320748263415e-45
"dp_gene10412",10.1221745624815,6.80444974122013,204.331443183414,2.36953588445571e-46,8.99114155735973e-44
"dp_gene7261",10.0412927003348,7.68234918503062,200.353376579016,1.74870902345022e-45,6.46529113054581e-43
"dp_gene18276",8.14461775737867,5.97134403448607,198.583943358838,4.25453904285469e-45,1.53365496147305e-42
"dp_gene2561",9.99707159595687,6.66949835110007,198.193647790904,5.17639151719555e-45,1.82044851918153e-42
"dp_gene985",11.3720754098496,5.34284016087897,196.478586649435,1.22550899811316e-44,4.20728910566517e-42
"dp_gene21775",11.3501411987148,7.07019236844469,195.413162306291,2.09333826524788e-44,7.01949870851376e-42
"dp_gene7672",7.47429036263942,6.48377061272594,194.521382503155,3.27695314510094e-44,1.07387244089115e-41
"dp_gene18961",6.97672287099629,9.73100782156956,192.837874096968,7.63673880819377e-44,2.44698081945213e-41
"dp_gene7531",11.2530110427356,8.36899295548366,190.709358928377,2.22584435736287e-43,6.97705430191634e-41
"dp_gene6462",11.2110344134076,5.10001421898659,188.683912536336,6.16041018416912e-43,1.88993520096882e-40
"dp_gene10587",9.79767099379631,6.43550757959609,188.481380440986,6.82055499944644e-43,2.04886630285454e-40
"dp_gene4744",7.68294827623512,6.00238752536433,188.161454513628,8.01042993878698e-43,2.35719161810958e-40
"dp_gene3152",8.7736789569627,8.09668668472391,186.627238433257,1.73207201179271e-42,4.99494926760782e-40
"dp_gene21637",9.73414195695193,8.49090650696949,185.400490704635,3.20898660696554e-42,9.07262311486982e-40
"dp_gene21527",11.0570693553772,5.41981352282289,181.295368798479,2.526935954131e-41,7.0069018312721e-39
"dp_gene7229",8.39158636762079,6.13103522793917,181.003724828548,2.92596926408511e-41,7.9602926073289e-39
"dp_gene3156",6.74706497289573,8.44562561850395,180.72177017494,3.37155548445152e-41,9.00267750561232e-39
"dp_gene3096",7.75875474654566,5.60165292468394,179.685470161241,5.67669114183378e-41,1.48822199225639e-38
"dp_gene14507",7.55503673718591,7.0567580699576,178.395797443169,1.08565366937794e-40,2.79536433192151e-38
"dp_gene16127",8.53188102452435,7.31781852096728,174.95260112656,6.13136800108871e-40,1.55102096855611e-37
"dp_gene3101",8.0116240122338,5.25130063697985,172.419120792994,2.19193498723445e-39,5.44922596222993e-37
