"genes","logFC","logCPM","LR","PValue","FDR"
"dp_gene20745",-9.07848223538079,11.7736797461078,353.362860845696,7.84944347777771e-79,1.13181125506077e-74
"dp_gene13579",-9.2948746051474,11.4197742384512,347.363061947116,1.58992393009515e-77,7.94349031852438e-74
"dp_gene13584",-9.29366139742322,11.4186535675354,347.285818878425,1.65271315317103e-77,7.94349031852438e-74
"dp_gene6591",-6.98943867370535,13.5853770643536,281.620539120639,3.33009147002306e-63,1.20041472265656e-59
"dp_gene2482",-6.54621543466663,10.4623282507922,161.78835711619,4.60179209106094e-37,1.32706480322016e-33
"dp_gene9093",7.58769202178177,12.1101801356664,148.938425394434,2.95801247141966e-34,7.10859697090002e-31
"dp_gene7531",10.5757255837965,8.36899295548366,114.978395804792,7.95595183132274e-27,1.63881242079775e-23
"dp_gene4315",8.0091425419996,7.23764372856203,111.470810412138,4.66625273276433e-26,8.41033726921611e-23
"dp_gene7151",9.95873887242,8.71067167720544,99.6947423178012,1.77792586928889e-23,2.84843478991961e-20
"dp_gene2873",9.47755636028264,7.37281338866263,88.075130203304,6.30149566508284e-21,9.08612659948295e-18
"dp_gene14341",-5.56326625298065,6.30495998061599,86.1473313744579,1.67017152472727e-20,2.18929120136751e-17
"dp_gene18961",4.74428316358206,9.73100782156956,77.3138711930373,1.45838185957061e-18,1.75236733609572e-15
"dp_gene8700",-5.25625746724406,5.8439132299534,74.3030238489091,6.70008027651751e-18,7.43141980823892e-15
"dp_gene14202",8.7685349974396,6.99828937207552,71.3920816355988,2.92845036143081e-17,3.01609469724792e-14
"dp_gene21637",4.59974128512578,8.49090650696949,70.6818777396576,4.19730423266793e-17,4.03472864872259e-14
"dp_gene14343",-4.77767453405003,5.79341017752241,69.2846340548779,8.52310329413426e-17,7.68091414988262e-14
"dp_gene4394",5.5139089010136,6.80433577215623,69.0256033885661,9.71934328926747e-17,8.24371828752633e-14
"dp_gene18032",8.62844608151439,8.16433759662035,68.412095734761,1.32661336103505e-16,1.03429479019274e-13
"dp_gene1884",4.40276867934487,9.75276179867848,68.3588871914548,1.3628962489536e-16,1.03429479019274e-13
"dp_gene8892",4.39339920022258,8.9545501505119,67.3005625651026,2.33114864186631e-16,1.68064161335351e-13
