UMM-S273-2.27-mRNA-1	GO:0008289
UMM-S250-10.61-mRNA-1	GO:0008289
UMM-S250-11.0-mRNA-1	GO:0008289
UMM-S2847-6.52-mRNA-1	GO:0005856
UMM-S2847-5.17-mRNA-1	GO:0005856
UMM-S71-27.51-mRNA-1	GO:0005856
UMM-S71-27.58-mRNA-1	GO:0005856
UMS-S233-8.57-mRNA-1	GO:0005856
UMM-S2838-46.103-mRNA-1	GO:0003735
UMM-S336-1.41-mRNA-1	GO:0003735
UMM-S336-1.51-mRNA-1	GO:0003735
UMA-S2840-13.3-mRNA-1	GO:0005634
UMA-S139-25.58-mRNA-1	GO:0005634
UMM-S57-16.76-mRNA-1	GO:0005634
UMM-S2838-23.5-mRNA-1	GO:0000786
UMA-S233-13.65-mRNA-1	GO:0000786
UMA-S2854-3.67-mRNA-1	GO:0000786
UMA-S2840-50.42-mRNA-1	GO:0000786
UMA-S2840-50.45-mRNA-1	GO:0000786
UMM-S57-16.66-mRNA-1	GO:0000786
UMA-S2840-13.5-mRNA-1	GO:0000786
UMA-S71-12.25-mRNA-1	GO:0005524
UMM-S71-12.6-mRNA-2	GO:0005524
UMA-S71-12.29-mRNA-1	GO:0005524
UMM-S412-0.42-mRNA-1	GO:0042302
UMM-S412-0.32-mRNA-1	GO:0042302
UMM-S325-1.17-mRNA-1	GO:0006412
UMM-S2868-11.36-mRNA-1	GO:0003924
UMM-S66-7.34-mRNA-1	GO:0000027
UMM-S57-18.8-mRNA-1	GO:0008289
UMM-S57-18.9-mRNA-1	GO:0005840
UMM-S57-18.21-mRNA-1	GO:0006357
UMM-S57-18.4-mRNA-1	GO:0006744
UMM-S57-18.12-mRNA-1	GO:0005689
UMM-S57-18.5-mRNA-1	GO:0005635
UMM-S57-18.6-mRNA-1	GO:0004427
UMM-S57-18.32-mRNA-1	GO:0005634
UMM-S57-18.17-mRNA-2	GO:0045892
UMA-S57-19.24-mRNA-1	GO:0005763
UMS-S57-19.39-mRNA-1	GO:0006096
UMM-S57-18.34-mRNA-1	GO:0003676
UMM-S57-19.6-mRNA-1	GO:0070919
UMM-S57-19.81-mRNA-1	GO:0005634
UMM-S57-19.82-mRNA-1	GO:0004222
UMM-S57-20.28-mRNA-2	GO:0004888
UMS-S57-20.2-mRNA-1	GO:1904333
UMM-S57-20.40-mRNA-1	GO:0005634
UMM-S57-20.42-mRNA-1	GO:0008446
UMM-S57-20.33-mRNA-1	GO:0005737
UMM-S57-20.35-mRNA-1	GO:0005737
UMM-S57-20.36-mRNA-1	GO:0016020
UMM-S57-21.53-mRNA-2	GO:0006468
UMA-S57-21.23-mRNA-1	GO:0016021
UMM-S57-21.49-mRNA-1	GO:0005737
UMM-S57-21.50-mRNA-1	GO:0006814
UMM-S57-21.5-mRNA-1	GO:0030992
UMS-S7-69.46-mRNA-1	GO:0016021
UMM-S2838-38.46-mRNA-1	GO:0016021
UMM-S322-7.50-mRNA-1	GO:0016021
UMM-S57-21.6-mRNA-1	GO:0016021
UMM-S57-21.58-mRNA-1	GO:0016020
UMM-S57-22.39-mRNA-1	GO:0004620
UMM-S57-22.40-mRNA-1	GO:0003677
UMM-S57-22.2-mRNA-1	GO:0030695
UMM-S57-22.3-mRNA-1	GO:0051168
UMM-S57-22.4-mRNA-2	GO:0005737
UMS-S196-2.57-mRNA-1	GO:0006888
UMM-S57-22.5-mRNA-1	GO:0006888
UMA-S57-23.23-mRNA-1	GO:0006486
UMM-S57-23.48-mRNA-1	GO:0004222
UMM-S57-23.49-mRNA-1	GO:0016021
UMM-S2840-42.61-mRNA-1	GO:0016021
UMM-S57-23.40-mRNA-1	GO:0016021
UMS-S57-23.13-mRNA-1	GO:0008152
UMM-S57-23.44-mRNA-1	GO:0000470
UMS-S57-24.24-mRNA-1	GO:0016020
UMM-S57-24.56-mRNA-1	GO:0003400
UMM-S57-24.1-mRNA-1	GO:0006289
UMM-S57-24.45-mRNA-1	GO:0006289
UMA-S57-24.19-mRNA-1	GO:0016020
UMM-S57-25.14-mRNA-1	GO:0016021
UMM-S57-25.76-mRNA-1	GO:0016747
UMM-S57-25.65-mRNA-1	GO:0016020
UMS-S41-56.7-mRNA-1	GO:0016021
UMM-S57-25.77-mRNA-2	GO:0016021
UMM-S57-25.2-mRNA-1	GO:0016021
UMM-S57-25.4-mRNA-1	GO:0016020
UMM-S57-25.5-mRNA-1	GO:0016021
UMM-S57-25.71-mRNA-1	GO:0016021
UMM-S57-25.72-mRNA-1	GO:0016020
UMS-S57-25.37-mRNA-1	GO:0016021
UMM-S57-25.20-mRNA-1	GO:0016021
UMM-S57-25.74-mRNA-1	GO:0016020
UMM-S57-26.24-mRNA-1	GO:0003676
UMM-S57-26.25-mRNA-1	GO:0016020
UMM-S41-9.12-mRNA-1	GO:0016021
UMM-S57-26.12-mRNA-1	GO:0016021
UMM-S57-26.13-mRNA-2	GO:0000406
UMM-S57-26.3-mRNA-1	GO:0016020
