#Supplementary Data 2. All alternative splicing events for significantly differentially spliced genes between morphs of Pristionchus pacificus.																				
Gene ID	Splice type	Chromosome	Strand	Exon start	Exon end	Upstream exon start	Upstream exon end	Downstream exon start	Downstream exon end	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
UMA-S10-82.14-mRNA-1	SE	ChrII	-	9421395	9421472	9421253	9421341	9421512	9421617	"14,8,19,14"	"7,4,6,9"	"5,4,6,9"	"4,2,8,5"	155	78	4.11E-13	2.81E-11	"0.502,0.502,0.614,0.439"	"0.386,0.502,0.274,0.475"	0.105
UMA-S10-82.14-mRNA-1	A3SS	ChrII	-	9421230	9421472	9421230	9421341	9421512	9421617	"14,9,20,18"	"7,4,6,9"	"5,4,7,10"	"4,2,8,5"	209	78	2.71E-10	1.96E-08	"0.427,0.456,0.554,0.427"	"0.318,0.427,0.246,0.427"	0.112
UMA-S13-40.17-mRNA-1	A5SS	ChrV	+	17107196	17107443	17107196	17107256	17107686	17107777	"43,40,36,35"	"5,7,4,9"	"44,50,55,25"	"6,5,4,1"	265	78	0.004337085	0.056395813	"0.717,0.627,0.726,0.534"	"0.683,0.746,0.802,0.88"	-0.127
UMA-S13-40.17-mRNA-1	SE	ChrV	+	17107383	17107443	17107196	17107256	17107686	17107777	"61,74,60,75"	"5,7,4,9"	"65,69,81,61"	"6,5,4,1"	138	78	0.015895067	0.189856463	"0.873,0.857,0.894,0.825"	"0.86,0.886,0.92,0.972"	-0.047
UMA-S13-76.3-mRNA-1	SE	ChrV	-	20642562	20642634	20642175	20642285	20643027	20643125	"29,43,39,47"	"63,69,102,111"	"45,46,40,33"	"88,67,33,13"	150	78	1.92E-07	7.52E-06	"0.193,0.245,0.166,0.18"	"0.21,0.263,0.387,0.569"	-0.161
UMA-S139-15.22-mRNA-1	A3SS	ChrI	-	27561066	27561144	27561066	27561141	27561285	27561363	"11,24,12,17"	"15,14,20,13"	"18,23,9,2"	"12,4,5,4"	81	78	0.000133535	0.003546187	"0.414,0.623,0.366,0.557"	"0.591,0.847,0.634,0.325"	-0.109
UMA-S139-15.22-mRNA-1	A5SS	ChrI	-	27559036	27559141	27559078	27559141	27558870	27558962	"7,6,8,5"	"109,153,150,112"	"6,2,5,5"	"129,149,125,120"	120	78	0.000300878	0.005263604	"0.04,0.025,0.034,0.028"	"0.029,0.009,0.025,0.026"	0.01
UMA-S212-3.56-mRNA-1	SE	ChrIV	+	19409742	19409786	19408417	19408514	19410631	19410787	"0,1,0,1"	"46,81,61,53"	"27,22,23,25"	"0,0,0,1"	122	78	1.41E-88	1.56E-85	"0.0,0.008,0.0,0.012"	"1.0,1.0,1.0,0.941"	-0.98
UMA-S212-3.56-mRNA-1	A5SS	ChrIV	+	19421191	19421596	19421191	19421236	19421658	19421810	"108,154,81,65"	"78,82,120,98"	"191,142,153,184"	"59,53,84,68"	438	78	1.08E-23	1.73E-21	"0.198,0.251,0.107,0.106"	"0.366,0.323,0.245,0.325"	-0.149
UMA-S212-3.56-mRNA-1	A5SS	ChrIV	+	19417232	19417475	19417232	19417301	19417626	19417686	"7,17,12,16"	"126,149,167,128"	"8,6,8,7"	"102,111,86,117"	252	78	5.07E-10	2.84E-08	"0.017,0.034,0.022,0.037"	"0.024,0.016,0.028,0.018"	0.006
