SeqName	SeqDesc	GOTerms	Enzymes	KeggMaps
dp_gene1	Cyclin-dependent kinase 9	protein serine/threonine kinase activity;ATP binding;protein phosphorylation;cell division		
dp_gene2	hypothetical protein DAPPUDRAFT_332487			
dp_gene3	Low-density lipo receptor-related			
dp_gene4	Nuclear receptor subfamily 4 group A member	nucleus;transcription factor activity, sequence-specific DNA binding;protein binding;zinc ion binding;sequence-specific DNA binding;transcription, DNA-templated;regulation of transcription, DNA-templated;tissue development;steroid hormone mediated signaling pathway;animal organ development;positive regulation of biological process;negative regulation of cellular process;regulation of multicellular organismal process		
dp_gene5	Rab3 GTPase-activating catalytic subunit	cytoplasm;GTPase activator activity;positive regulation of GTPase activity		
dp_gene6	Leucine-rich transmembrane	extracellular region;integral component of membrane		
dp_gene7	Leucine-rich repeats and immunoglobulin-like domains 1	integral component of membrane		
dp_gene8	rab3 GTPase-activating catalytic subunit isoform X2	cytoplasm;GTPase activator activity;positive regulation of GTPase activity;single-organism process;positive regulation of biological process;regulation of cellular process		
dp_gene9	insulin-like growth factor 2 mRNA-binding 3-A	nucleotide binding;RNA binding		
dp_gene10	Insulin-like growth factor 2 mRNA-binding 1	nucleotide binding;RNA binding		
dp_gene11	Nuclear receptor subfamily 2 group E member	nucleus;transcription factor activity, sequence-specific DNA binding;steroid hormone receptor activity;zinc ion binding;sequence-specific DNA binding;transcription, DNA-templated;regulation of transcription, DNA-templated;steroid hormone mediated signaling pathway		
dp_gene12	nuclear receptor subfamily 2 group F member 6-like	nucleus;steroid hormone receptor activity;RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding;zinc ion binding;sequence-specific DNA binding;transcription, DNA-templated;regulation of transcription, DNA-templated;intracellular receptor signaling pathway;steroid hormone mediated signaling pathway		
dp_gene13	Low-density lipo receptor-related	integral component of membrane;calcium ion binding		
dp_gene14	ATP-dependent DNA helicase	nuclear chromosome, telomeric region;nucleoplasm;cytoplasm;DNA binding;ATP binding;four-way junction helicase activity;ATP-dependent 3'-5' DNA helicase activity;telomere maintenance via recombination;double-strand break repair via homologous recombination;DNA synthesis involved in DNA repair;base-excision repair;cell aging;replication fork processing;DNA duplex unwinding;cellular response to gamma radiation		
dp_gene15	-type and C3HC4-type zinc finger-containing	zinc ion binding		
dp_gene16	hypothetical protein DAPPUDRAFT_326608	nuclear chromosome, telomeric region;nucleoplasm;cytoplasm;DNA binding;ATP binding;four-way junction helicase activity;ATP-dependent 3'-5' DNA helicase activity;telomere maintenance via recombination;DNA synthesis involved in DNA repair;base-excision repair;double-strand break repair;cell aging;replication fork processing;DNA duplex unwinding;cellular response to gamma radiation		
dp_gene17	Atrial natriuretic peptide-converting enzyme			
dp_gene18	Atrial natriuretic peptide-converting enzyme	integral component of membrane;serine-type endopeptidase activity;proteolysis		
dp_gene19	Kinase D-interacting substrate of 220 kDa	integral component of membrane;kinase activity;phosphorylation		
dp_gene20	probable D-lactate mitochondrial	D-lactate dehydrogenase (cytochrome) activity;flavin adenine dinucleotide binding;oxidation-reduction process		
dp_gene21	cyclin-dependent kinase 4	protein serine/threonine kinase activity;ATP binding;protein phosphorylation		
dp_gene22	hypothetical protein DAPPUDRAFT_262255			
dp_gene23	Nuclear pore complex Nup214			
dp_gene24	Novel hh114			
dp_gene25	Regulation of nuclear pre-mRNA domain-containing 2			
dp_gene26	Basement membrane-specific heparan sulfate			
dp_gene27	family 31	hydrolase activity, hydrolyzing O-glycosyl compounds;carbohydrate metabolic process		
dp_gene28	---NA---			
dp_gene29	endophilin-A isoform X1	cytoplasm		
dp_gene30	Maspardin			
dp_gene31	Spectrin beta non-erythrocytic	spectrin;actin binding;structural constituent of cytoskeleton;phospholipid binding		
dp_gene32	Uncharacterized protein APZ42_010871			
dp_gene33	Glutaredoxin-related mitochondrial	mitochondrion;electron carrier activity;protein disulfide oxidoreductase activity;metal ion binding;2 iron, 2 sulfur cluster binding;iron-sulfur cluster assembly;hemopoiesis;cell redox homeostasis;oxidation-reduction process		
dp_gene34	collagen triple helix repeat			
dp_gene35	acetylcholinesterase collagenic tail peptide-like			
dp_gene36	conserved plasma membrane	integral component of membrane;neurogenesis		
dp_gene37	insulin-like growth factor-binding complex acid labile subunit	integral component of membrane		
dp_gene38	hypothetical protein DAPPUDRAFT_326608	nuclear lumen;nucleic acid binding;DNA helicase activity;DNA repair;cellular macromolecule biosynthetic process;chromosome organization		
dp_gene39	hypothetical protein DAPPUDRAFT_333285	nuclear chromosome, telomeric region;nucleoplasm;cytoplasm;DNA binding;ATP binding;four-way junction helicase activity;ATP-dependent 3'-5' DNA helicase activity;telomere maintenance via recombination;DNA synthesis involved in DNA repair;base-excision repair;double-strand break repair;cell aging;replication fork processing;DNA duplex unwinding;cellular response to gamma radiation		
dp_gene40	ATP-dependent DNA helicase	nuclear chromosome, telomeric region;nucleoplasm;cytoplasm;DNA binding;ATP binding;four-way junction helicase activity;ATP-dependent 3'-5' DNA helicase activity;telomere maintenance via recombination;double-strand break repair via homologous recombination;DNA synthesis involved in DNA repair;base-excision repair;cell aging;replication fork processing;DNA duplex unwinding;cellular response to gamma radiation		
dp_gene41	hypothetical protein DAPPUDRAFT_326913			
dp_gene42	hypothetical protein DAPPUDRAFT_329246	cytoplasm;RNA binding;glutamate-tRNA ligase activity;proline-tRNA ligase activity;ATP binding;glutamyl-tRNA aminoacylation;prolyl-tRNA aminoacylation		
dp_gene43	insulin-like growth factor-binding complex acid labile subunit	integral component of membrane		
dp_gene44	hypothetical protein DAPPUDRAFT_304875	integral component of membrane		
dp_gene45	carotenoid isomerooxygenase	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;oxidation-reduction process		
dp_gene46	insulin-like growth factor-binding complex acid labile subunit	integral component of membrane		
dp_gene47	hypothetical protein DAPPUDRAFT_333733			
dp_gene48	Structural maintenance of chromosomes 4	nucleus;chromosome;cytoplasm;ATP binding;cell cycle;chromosome organization		
dp_gene49	Trypsin serine protease	membrane;serine-type endopeptidase activity;proteolysis		
